CMDLINE /home/cataluna84/anaconda3/envs/hpp/bin/python julia1_memoryprofiler.py
MEM 5.820312 1600341081.6517
MEM 12.968750 1600341081.7522
MEM 20.839844 1600341081.8526
MEM 28.082031 1600341081.9531
MEM 36.093750 1600341082.0537
MEM 43.750000 1600341082.1541
MEM 59.699219 1600341082.2546
MEM 75.832031 1600341082.3550
MEM 90.261719 1600341082.4555
MEM 103.414062 1600341082.5560
MEM 123.000000 1600341082.6566
MEM 123.000000 1600341082.7570
MEM 123.000000 1600341082.8576
MEM 123.000000 1600341082.9581
MEM 123.000000 1600341083.0585
MEM 123.230469 1600341083.1590
MEM 123.230469 1600341083.2594
MEM 123.230469 1600341083.3599
MEM 123.230469 1600341083.4605
MEM 123.230469 1600341083.5610
MEM 123.230469 1600341083.6615
MEM 123.230469 1600341083.7619
MEM 123.480469 1600341083.8624
MEM 123.480469 1600341083.9629
MEM 123.480469 1600341084.0635
MEM 123.480469 1600341084.1640
MEM 123.480469 1600341084.2645
MEM 123.480469 1600341084.3650
MEM 123.480469 1600341084.4657
MEM 123.730469 1600341084.5662
MEM 123.730469 1600341084.6668
MEM 123.730469 1600341084.7673
MEM 123.730469 1600341084.8677
MEM 123.730469 1600341084.9683
MEM 123.730469 1600341085.0687
MEM 123.730469 1600341085.1692
MEM 123.980469 1600341085.2696
MEM 123.980469 1600341085.3701
MEM 123.980469 1600341085.4705
MEM 123.980469 1600341085.5710
MEM 123.980469 1600341085.6715
MEM 123.980469 1600341085.7720
MEM 123.980469 1600341085.8725
MEM 124.230469 1600341085.9730
MEM 124.230469 1600341086.0736
MEM 124.230469 1600341086.1741
MEM 124.230469 1600341086.2746
MEM 124.230469 1600341086.3751
MEM 124.230469 1600341086.4756
MEM 124.230469 1600341086.5761
MEM 124.480469 1600341086.6767
FUNC __main__.calculate_z_serial_purepython 115.4766 1600341082.6365 126.2305 1600341091.7832 1
FUNC __main__.calc_pure_python 38.1406 1600341082.1171 38.8320 1600341091.8284 0
MEM 124.480469 1600341086.7780
MEM 124.480469 1600341086.8785
MEM 124.480469 1600341086.9791
MEM 124.480469 1600341087.0795
MEM 124.480469 1600341087.1800
MEM 124.480469 1600341087.2804
MEM 124.730469 1600341087.3810
MEM 124.730469 1600341087.4814
MEM 124.730469 1600341087.5818
MEM 124.730469 1600341087.6823
MEM 124.730469 1600341087.7827
MEM 124.730469 1600341087.8833
MEM 124.980469 1600341087.9837
MEM 124.980469 1600341088.0843
MEM 124.980469 1600341088.1849
MEM 124.980469 1600341088.2854
MEM 124.980469 1600341088.3858
MEM 124.980469 1600341088.4863
MEM 124.980469 1600341088.5868
MEM 125.230469 1600341088.6873
MEM 125.230469 1600341088.7880
MEM 125.230469 1600341088.8886
MEM 125.230469 1600341088.9890
MEM 125.230469 1600341089.0893
MEM 125.230469 1600341089.1900
MEM 125.230469 1600341089.2904
MEM 125.480469 1600341089.3910
MEM 125.480469 1600341089.4915
MEM 125.480469 1600341089.5920
MEM 125.480469 1600341089.6924
MEM 125.480469 1600341089.7929
MEM 125.480469 1600341089.8934
MEM 125.480469 1600341089.9938
MEM 125.480469 1600341090.0944
MEM 125.730469 1600341090.1950
MEM 125.730469 1600341090.2956
MEM 125.730469 1600341090.3961
MEM 125.730469 1600341090.4966
MEM 125.730469 1600341090.5972
MEM 125.730469 1600341090.6977
MEM 125.730469 1600341090.7982
MEM 125.980469 1600341090.8987
MEM 125.980469 1600341090.9992
MEM 125.980469 1600341091.0997
MEM 125.980469 1600341091.2002
MEM 125.980469 1600341091.3008
MEM 125.980469 1600341091.4013
MEM 125.980469 1600341091.5019
MEM 126.230469 1600341091.6024
MEM 126.230469 1600341091.7028
MEM 111.113281 1600341091.8035
MEM 0.000000 1600341091.9046
