CMDLINE /home/cataluna84/anaconda3/envs/hpp/bin/python julia1_memoryprofiler.py
MEM 5.828125 1599369436.0289
MEM 13.589844 1599369436.1294
MEM 22.046875 1599369436.2299
MEM 29.527344 1599369436.3303
MEM 36.933594 1599369436.4307
MEM 47.832031 1599369436.5312
MEM 63.964844 1599369436.6317
MEM 79.789062 1599369436.7321
MEM 94.406250 1599369436.8326
MEM 110.394531 1599369436.9331
MEM 122.867188 1599369437.0335
MEM 122.867188 1599369437.1347
MEM 122.867188 1599369437.2353
MEM 122.867188 1599369437.3359
MEM 122.867188 1599369437.4363
MEM 123.105469 1599369437.5367
MEM 123.105469 1599369437.6372
MEM 123.105469 1599369437.7377
MEM 123.105469 1599369437.8381
MEM 123.105469 1599369437.9386
MEM 123.105469 1599369438.0390
MEM 123.105469 1599369438.1394
MEM 123.105469 1599369438.2398
MEM 123.355469 1599369438.3402
MEM 123.355469 1599369438.4407
MEM 123.355469 1599369438.5411
MEM 123.355469 1599369438.6415
MEM 123.355469 1599369438.7421
MEM 123.355469 1599369438.8424
MEM 123.355469 1599369438.9429
MEM 123.355469 1599369439.0433
MEM 123.605469 1599369439.1437
MEM 123.605469 1599369439.2441
MEM 123.605469 1599369439.3445
MEM 123.605469 1599369439.4449
MEM 123.605469 1599369439.5454
MEM 123.605469 1599369439.6458
MEM 123.605469 1599369439.7463
MEM 123.855469 1599369439.8470
MEM 123.855469 1599369439.9474
MEM 123.855469 1599369440.0478
MEM 123.855469 1599369440.1483
MEM 123.855469 1599369440.2488
MEM 123.855469 1599369440.3492
MEM 123.855469 1599369440.4496
MEM 123.855469 1599369440.5500
MEM 124.105469 1599369440.6506
MEM 124.105469 1599369440.7511
MEM 124.105469 1599369440.8515
MEM 124.105469 1599369440.9519
MEM 124.105469 1599369441.0524
MEM 124.105469 1599369441.1537
MEM 124.105469 1599369441.2541
MEM 124.355469 1599369441.3546
MEM 124.355469 1599369441.4550
MEM 124.355469 1599369441.5554
MEM 124.355469 1599369441.6559
MEM 124.355469 1599369441.7564
MEM 124.355469 1599369441.8569
MEM 124.355469 1599369441.9573
MEM 124.605469 1599369442.0577
MEM 124.605469 1599369442.1582
MEM 124.605469 1599369442.2589
MEM 124.605469 1599369442.3593
MEM 124.605469 1599369442.4598
MEM 124.605469 1599369442.5602
MEM 124.605469 1599369442.6607
MEM 124.605469 1599369442.7612
MEM 124.855469 1599369442.8616
MEM 124.855469 1599369442.9620
MEM 124.855469 1599369443.0624
MEM 124.855469 1599369443.1628
MEM 124.855469 1599369443.2631
MEM 124.855469 1599369443.3636
MEM 124.855469 1599369443.4640
MEM 124.855469 1599369443.5645
MEM 125.105469 1599369443.6649
MEM 125.105469 1599369443.7654
MEM 125.105469 1599369443.8658
MEM 125.105469 1599369443.9662
MEM 125.105469 1599369444.0667
MEM 125.105469 1599369444.1671
MEM 125.105469 1599369444.2676
MEM 125.355469 1599369444.3680
MEM 125.355469 1599369444.4685
MEM 125.355469 1599369444.5689
MEM 125.355469 1599369444.6693
MEM 125.355469 1599369444.7698
MEM 125.355469 1599369444.8702
MEM 125.355469 1599369444.9708
MEM 125.355469 1599369445.0713
MEM 125.605469 1599369445.1717
MEM 125.605469 1599369445.2721
MEM 125.605469 1599369445.3726
MEM 125.605469 1599369445.4730
MEM 125.605469 1599369445.5734
MEM 125.605469 1599369445.6738
MEM 125.605469 1599369445.7743
MEM 125.605469 1599369445.8748
MEM 125.855469 1599369445.9753
MEM 125.855469 1599369446.0757
MEM 125.855469 1599369446.1761
FUNC __main__.calculate_z_serial_purepython 115.3438 1599369436.9630 126.1055 1599369446.9233 1
FUNC __main__.calc_pure_python 37.9258 1599369436.4695 38.4648 1599369446.9801 0
MEM 125.855469 1599369446.2771
MEM 125.855469 1599369446.3776
MEM 125.855469 1599369446.4781
MEM 125.855469 1599369446.5786
MEM 125.855469 1599369446.6790
MEM 126.105469 1599369446.7795
MEM 126.105469 1599369446.8800
MEM 38.464844 1599369446.9805
